artist Id,influencer 1,influencer 2,influencer 3,influencer 4,influencer 5
989,874459,665978,473629,175764,560009
16326,874459,665978,473629,175764,560009
144882,874459,665978,473629,175764,560009
194647,874459,665978,473629,175764,560009
